subject,name
"Infraestrutura urbana","Secretaria Municipal de Obras e Agricultura"
"Conservação de calçadas e passeios públicos","Secretaria Municipal de Obras e Agricultura"
"Implementação de braço de luz","Secretaria Municipal de Obras e Agricultura"
"Drenagem e combate a alagamentos","Secretaria Municipal de Obras e Agricultura"
"Instalação de pontos de ônibus","Secretaria Municipal de Obras e Agricultura"
"Manutenção de abrigos de ônibus","Secretaria Municipal de Obras e Agricultura"
"Demora, grosseria ou falta de atendimento","Secretaria Municipal de Obras e Agricultura"
"Estrutura, limpeza e materiais da unidade","Secretaria Municipal de Obras e Agricultura"
Atendimento,"Secretaria Municipal de Obras e Agricultura"
"Estrutura, limpeza e materiais das unidades","Secretaria Municipal de Obras e Agricultura"
"Substituição de tampas e grelhas de esgoto","Secretaria Municipal de Obras e Agricultura"
"Registro de matrícula e averbação no Cartório de Registro de Imóveis","Secretaria Municipal de Obras e Agricultura"
Agropecuária,"Secretaria Municipal de Obras e Agricultura"
"Propriedade abandonada (terreno, casa, galpão e prédio)","Secretaria Municipal de Obras e Agricultura"
"saneamento básico","Secretaria Municipal de Obras e Agricultura"
"Construção e manutenção de pontes e passarelas em região urbana","Secretaria Municipal de Obras e Agricultura"
"Qualidade dos equipamentos esportivos","Secretaria Municipal de Obras e Agricultura"
"reparo da minha calçada, que o caminhão de entulho quebrou.","Secretaria Municipal de Obras e Agricultura"
"Construção irregular","Secretaria Municipal de Obras e Agricultura"
"Ruídos de obras e transportes","Secretaria Municipal de Obras e Agricultura"
"Descarte irregular de resíduos","Secretaria Municipal de Obras e Agricultura"
"instalação de bueiro","Secretaria Municipal de Obras e Agricultura"
"Quebra molas","Secretaria Municipal de Obras e Agricultura"
"Enchentes e alagamentos","Secretaria Municipal de Obras e Agricultura"
Outros,"Secretaria Municipal de Obras e Agricultura"
"Vistorias técnicas estruturais","Secretaria Municipal de Obras e Agricultura"
"Limpeza de Rios e Valões","Secretaria Municipal de Obras e Agricultura"
"Sinalização de trânsito","Secretaria Municipal de Obras e Agricultura"
"Implementação de projetos de esporte e lazer","Secretaria Municipal de Obras e Agricultura"
"Conduta irregular de funcionário","Secretaria Municipal de Obras e Agricultura"
"Condições higiênico-sanitárias de bares, restaurantes e lanchonetes","Secretaria Municipal de Obras e Agricultura"
"estamos precisando se uma casamba de lixo e limpeza no valão","Secretaria Municipal de Obras e Agricultura"
"Saneamento básico, entupimento de esgoto","Secretaria Municipal de Obras e Agricultura"
"Regularização de terras e uso do solo rural","Secretaria Municipal de Obras e Agricultura"
"Conserto de calçada.","Secretaria Municipal de Obras e Agricultura"
"Reparo de calçada","Secretaria Municipal de Obras e Agricultura"
"Barreiras arquitetônicas em vias e calçadas","Secretaria Municipal de Obras e Agricultura"
"Conflitos de limites, confrontações e conflitos de vizinhança","Secretaria Municipal de Obras e Agricultura"
"Conservação de prédios e equipamentos públicos","Secretaria Municipal de Obras e Agricultura"
Apicultura,"Secretaria Municipal de Obras e Agricultura"
"Hortas comunitárias","Secretaria Municipal de Obras e Agricultura"
"Adaptação de calçadas e vias públicas","Secretaria Municipal de Obras e Agricultura"
"Instalação de braço de luz","Secretaria Municipal de Obras e Agricultura"
"vazamento de água","Secretaria Municipal de Obras e Agricultura"
"Obstrução de via pública (móveis e fixas)","Secretaria Municipal de Obras e Agricultura"
